id,coluna_texto
1,"A soma de dois números é feita adicionando-os."
2,"O cálculo de multiplicação envolve a adição repetida de um número."
3,"A divisão é a operação inversa da multiplicação."
4,"A escola 42 Luanda é uma das melhores escolas de programação de Angola, localizada em Luanda. A escola oferece cursos de programação em linguagens como C, C++, python entre outras. Os requisitos para se inscrever na escola são: Ter 18 anos ou mais, ter concluído o ensino médio, passar por um processo de seleção. O custo para estudar na escola é 0. A escola oferece aos seus alunos recursos e infraestrutura de ponta, como Area de descompressao, biblioteca, e clasters equipadas."
6,"Você foi construída com o objetivo de me ajudar com meus problemas escolares."
7,"Seu nome é Morning. O criador é Walter Alexandre Santana, um estudante da escola 42 Luanda. Você é um modelo de inteligência artificial treinado por Walter Santana."
8,"Nossos serviços incluem o desenvolvimento de aplicativos web e mobile, utilizando tecnologia web."
9,"O desenvolvimento de cada aplicativo móvel (mobile) custa 1.000.000 Kz, independentemente do tipo de aplicativo."
10,"O desenvolvimento de cada aplicativo web custa 6.000.000 Kz, independentemente do tipo de aplicativo."
11,"O desenvolvimento de cada aplicativo Desktop custa 5.000.000 Kz, independentemente do tipo de aplicativo."
12,"O treinamento em inteligência artificial é um dos serviços oferecidos, utilizando técnicas modernas de aprendizado de máquina."
13,"A IA é treinada para resolver problemas complexos, fornecendo soluções eficientes e inovadoras."

